Comentário;Classificação
FOI O MELHOR VÍDEO DO EXPERIMENTANDO QUE JÁ SE PASSOU, PRECISO COMPRAR ESSES DOCES, PQ REALMENTE DEU AGUÁ NA BOCA.;Elogio
Gosto da Deb, mas sinto que ela tem um pequeno ranço do Fogasa kkk todas as vezes ela criticou os restaurantes dele.;Opiniao
Fogaça ta rindo dessas críticas kkkkkkkkkkk se vcs fossem tão bons cozinheiros teriam ganhado!;Critica
Débora não deixa o Vitor falar, parece o Faustão.;Critica
Não gostei das opiniões pq os dois foram morde assopra. Ficaram procurando defeitos, provou na hora e elogiou, depois no final falou mal;Critica
Forçada demais. Ja entra querendo falar mal do restaurante dos jurados. Simpatia zero sempre deis do reality.;Critica
Visita o Burg one do pesadelo na cozinha !!! Queremos muito !!;Sugestao
Visita o restaurante do Paulo, da nova temporada do masterchef;Sugestao
Deb se conseguir passar no restaurante do Ravi. Dizem ser muito bom;Sugestao
Cão veio é uma pegada de ricos que querem ser pobre.;Opiniao
QUEM APOIA QUE A DEB VISITE O TUJU(Restaurante que ela cozinhou no Masterchef) DEIXA O LIKEE!!;Sugestao
Deb, quando chegar a 100 mil inscritos leva um de nós pra comer com você! Rsrs;Sugestao
"Ela tem uma ""raivinha"" do Fogaça... é tão nítido isso, quando ela visitou o SAL mesma coisa.";Critica
isita o terraço Itália gostaria muito de saber sua opnião sobre o restaurante;Sugestao
"O tom de voz que ela atinge no ""foraaaaaaa"" é inacreditável";Elogio
Acho que Marília sabe da minha vida vei,na moral,essa música parece ser cantada pra mim!!Amo demais!!;Opiniao
A aula é boa,mas é como se eu não conseguisse entender NADA DE FÍSICA;Opiniao
Gosto MT do descomplica. Porém acho que eles deveriam trocar o quadro pra ficar melhor.;Elogio e Sugestao
Contratei o plano começo do ano e só tenho a agradecer. Compreendi a física graças ao Leo gomes;Elogio
"Parece que a qualquer momento se um aluno fizer alguma coisa errada ele vai dar uma ""reguada"" na mão que nem antigamente heuheuhe";Opiniao
"Odeio física -.-""";Odio
Amei a aula aprendi muito, hoje fiz a prova e conseguir tirar dez, Parabéns professor continue assim ajudando milhares de pessoas.;Elogio
Ótima aula, só achei que o Professor deveria usar o exemplo do cálcio no momento que foi distribuir as setinhas. Ficaria mais fácil de entender.;Elogio e Sugestao
prof acho que você se equivocou na representação do seu diagrama. Se eu estiver errada me diga. Bela aula e boa explicação.;Elogio e Sugestao
falta mais organização na hora de explicar, me confundi toda mesmo já tendo estudado esse conteúdo;Critica
Devo dizer que vocês estão fazendo um excelente trabalho, continuem assim.;Elogio
"Muito confuso. Deveria ter menos ""não sei"", e mais esclarecimento...";Critica
fala mais devagar prof, vc fala muito rápido;Sugestao
cara tem algumas coisas que ficou duvidosas como o subnivel mais energetico ou externo;Opiniao
parabens que video perfeito me ajudou muito serio, obrigada;Elogio
Essa biografia do vídeo super bem explicada é um amor!!!;Elogio
Dai você aprende a pronunciar, mas na hora de cantar ou falar não fica fluido;Opiniao
"Estava aqui tentando fazer o som do TH e minha esposa me perguntou se eu estava com ""problemas psicológicos """;Opiniao
Obrigado Mario... com seu vidio aprendi a assoviar!;Elogio
Aprenda a estrutura, e que se dane a regra;Opiniao
Diferença entre: Both, either e neither..;Sugestao
Amigo você é top e sempre me inspirou. Love total ! Meus alunos estão loucos com minhas novas pegadas auê aprendi contigo.;Elogio
Dude...agora eu entendi...vc tem o dom de passar o conhecimento para as pessoas...obrigada pela excelente explicação;Elogio
Restaurante nojento e o Dono um nojo de ser humano;Odio
10 minuto de vídeo já quero descer esse proprietário na porrada;Odio
O Jacquin é muitas vezes exagerado, mas dessa vez ele tem toda a razão.;Opiniao
Esse povo arrogante que diz que é porque é nordestino é uma vergonha pras minhas raízes. Não é porque você é nordestino, amigo, é porque você é arrogante e sem educação.;Odio
A cada minuto que passa eu sinto mais raiva desse homem!;Odio
Não venha usar a desculpa que é nordestino para ser grosseiro!;Odio
Que homem tóxico, restaurante Chernobyl;Odio
Quanto mais Pesadelo na Cozinha eu assisto mais eu me certifico que a vigilância sanitária faz pouco pela população.;Critica
Tomara que essas mulheres encontre um emprego melhor, amém!!;Opiniao
"Cara, que vergonha um cara desse ""representando"" o meu querido Nordeste !";Opiniao
Quem me dera eu pudesse ter tido contato com inglês desde pequena;Opiniao
Analisa o inglês da Any do grupo global Now United;Sugestao
Pq que brasileiro se preocupa tanto com o inglês alheio das pessoas??;Critica
Cintyaaa, começa a fazer vídeos em inglês, acho que a galera vai amar;Sugestao
Aos que criticam o nosso país, lembrem que um país é feito de pessoas, mudemos nossas atitudes que o país muda também.;Opiniao
Faz um vídeo mostrando a evolução do inglês da Gisele Bündchen também!;Sugestao
Como você esta linda Cíntya!!!;Elogio
Eiii agora fiquei curiosa , faz a evolução do SEU inglês;Sugestao
Alfabetizada em inglês, rica e indo todo ano pro States, estranho seria ela nao falar bem;Critica
Faz um vídeo sobre o inglês da Tatá Werneck.;Sugestao
Provavelmente sempre estudou em escola de língua inglesa.;Opiniao
Tô besta que ele é canadense e tem o português perfeito.;Opiniao
Q PROF É ESSE! Aprendi mais que em 8 anos estudando ingles na escola;Elogio
queria que vc fosse meu professor pq a minha so fica mexendo no celular;Opiniao
Cara se eu tivesse um professor desse nunca iria tirar nota baixa;Opiniao
melhor professor de ingles;Elogio
Se todos os professores facilitassem assim , já estaria conversando em inglês !;Opiniao
Aprendi mais em 20 minutos o que os meus professores me passaram a vida inteira!! Incrivel didática!!! Valeu Kenny!!!;Opiniao e Elogio
Saber ingles já é uma necessidade...tua aula flui, pois ensinas com amor...Parabens!!!;Opiniao
Aprendo inglês ou morro tentando kkkk;Opiniao
Por que quando eu vou falar english minha voz meio que muda hahaha;Opiniao
Eu nunca me imaginei antes aprendendo sozinho. Agradeço ao Mairo e equipe pelo conteúdo!;Elogio
Queria q as escolas usassem esse metodo kkkk muito bom obrigada;Elogio
sugestão para: Mario vergaria sobre fazer um video falando de apresentaçoes na escola usando apenas ingles.;Sugestao
muito bom todas as suas dicas, parabéns Mairo vc tá fazendo a diferença!;Elogio
Essa dica é fantástica e revela um jeito diferente porém eficientíssimo e prático na construção de frases sem se prender absolutamente à gramática. Parabéns e obrigado por esse vídeo!;Elogio
Eu tenho uma pergunta: Quando usamos o TO, é tipo um infinitivo ne? Mas quando usamos ele somos obrigados a colocar a palavra PARA, que é o significado próprio dessa palavra ne Por exemplo: To find, PARA ENCONTRAR. Esse PARA sempre vai ser aí ou não é obrigado?;Duvida
Qual a diferença de falar o like to study para i like of study ?;Duvida
Achei uma dica ótima. Ou como diz perfect;Elogio
Melhor explicaçao do universo kkkk ameei, tirou minha duvida!! Ameei mesmo!! Obrigda professor;Elogio
Excelente!! Parabéns, seu vídeos são realmente muito legais!! Mario, você bem que poderia fazer um vídeo falando sobre os primeiros passos para se tornar um professor de inglês hein?!!!!;Elogio e Sugestao
Faz linguagem corporal do Edir Macedo. Quem concorda?;Sugestao
É o cara do Super Oito. Nem lembrava que esteve no Parafernalha.;Opiniao
vitor, poderia analisar o game Detroit Become Human? Eu acho que as expressões faciais dos personagens iguais a nossas (claro que nem todas são iguais mas algumas sim). eu dei essa ideia no seu insta porém não tive resposta. abraços;Sugestao
Faz linguagem corporal do ex-goleiro Bruno do Flamengo;Sugestao
Analisa a entrevista com Neil Armstrong ,após ter ido a lua!;Sugestao
Como não querer ser aluno (a) desse cara?;Opiniao
Victor, como posso diferenciar uma pessoa carismática de uma pessoa que realmente gosta de mim?;Duvida
Seria muito interessante caso o Vitor fizesse uma análise do Coringa de Heath Legder.;Sugestao
Cara faz uma análise sobre o caso Queiroz e Flávio Bolsonaro!!!;Sugestao
"Eu acho que esse quadro foi baseado na série ""O MENTALISTA""";Opiniao
Parabéns pelos dois milhões !!! Vitor analisa as entrevistas do goleiro bruno;Elogio e Sugestao
Faz uma linguagem corporal voltada especificamente pra casos envolvendo inocentes sendo julgados como culpados.;Sugestao
Cara tu é o mais foda do mundo! Kkkk;Elogio
Acho que seria interessante se analisasse algum caso do The Mentalist, muitas vezes o Patrik tirava conclusões muito precisas e específicas apenas com detalhes e gostaria de saber se realmente seria possível...;Sugestao
Analisa a linguagem corporal do Biroliro no discurso na ONU.;Sugestao
Os psicólogos da universidade onde eu trabalho te odeiam;Opiniao
analisa as expressões de dor do neymar pra ver se ele simula;Sugestao
Vitor, poderia comentar as séries CRIMINAL da Netflix?;Sugestao
Tadinho do Vitor.. nunca vai conseguir ter uma festa surpresa! kk;Opiniao
O interessante é q ele sempre tem uma referência em seus argumentos, nada de achismo. Toda resposta ele cita um autor, o q da ainda mais credibilidade em sua falas.;Opiniao
O cara é uma enciclopédia ambulante, incrível.;Elogio
Impressionante a inteligência desse rapaz. Comunicação, memória, conteúdo. Incrível!;Elogio
O cara é inteligente mesmo, não é um YouTuber que fica de Papinho.;Elogio
O Danilo ficou claramente empolgado e interessado no que o Vitor tava falando.;Opiniao
Bota ele pra análise de petista corruptos. Que já estão no poder seria ótimo;Sugestao
Agora o Vitor tem que fazer um vídeo análise das expressões faciais do Danilo enquanto o entrevistava kkkk;Sugestao
me admiro com a inteligencia desse cara.;Elogio
Só agora que eu reparei que o Vitor Santos é muito bonitinho e também muito fofinho. Amei a entrevista!;Elogio
Eu tenho 14 anos, mas parece que já traí, já fui traída e já destruí vários relacionamentos;Opiniao
Daqui a um século não aparecerá outro cantor sertanejo da categoria da Marília. Ela ficará na história.;Opiniao
Eu tô sofrendo muito com geometria e química. Não entra na minha cabeça.;Opiniao
Eu estou dando crise de ansiedade;Opiniao
Dá pra estudar com 1 mês?;Duvida
Gosto MT do descomplica. Porém acho que eles deveriam trocar o quadro pra ficar melhor.;Elogio e Critica
1 mês pra prova e eu com dificuldade pra estudar, eu ainda quero fazer o ENEM se passar;Opiniao
Hahahaha odeio física mas amo esse professor!!!;Elogio
Mega aula. Gostei da aula, aí eu prestei bem atenção, aí não entendi nada.;Elogio
Explica muito bem;Elogio
Contratei o plano começo do ano e só tenho a agradecer. Compreendi a física graças ao Leo gomes;Elogio
Sensacional, perdi meu medo de análise combinatória em 19 minutos;Elogio
Me fez entender um dos assuntos que mais temia, maravilhoso.;Elogio
Professor Sandro ótima aula, mas tem um erro 30x29=870,;Elogio e Critica
Ótima aula, parabéns! Eu gostaria de saber em qual ano escolar cai essa matéria... Estou no nono ano, e nada desse tipo até agora;Elogio e Duvida
Minha prova é terça mais parece q eu aprendi agora;Opiniao
Me ajudou, obrigada;Elogio
Aprendi a diferença;Elogio
Gostei bastante!;Elogio
Na minha opinião o Lucas é meio chato;Opiniao
Raul o mais gente boa das 2 temporadas.;Opiniao
Lucas continua insuportável.;Opiniao
E preciso escrever formalmente? Todo redação nota mil que li até agora tem um palavreado meio difícil. Eu tenho dificuldade nessa parte, me ajudem!!;Opiniao
Sugiro um vídeo e redação sobre Sigilo das Informações como o caso do Moro.;Sugestao
Faz sobre o tema gravidez na adolescência;Sugestao
Não sei pra vcs, mas pra mim o descomolica usa muitas figuras e memes nos vídeos. A sensaçõ é que tira o foco.;Critica
Faça uma redação exemplar, sobre a família contemporânea...;Sugestao
Odeio redação do Enem;Odio
Eu poderia falar da participação política dos jovens na Ágora Grécia antiga ?;Duvida
Essa proposta não está detalhada.;Critica
Nossa achei esse tema dificil;Opiniao
Essa doença só pega em em pessoas com baixa imunidade, por falta de vitaminas como cultura, arte, educação, respeito, fraternidade, verdade, sensatez, equilíbrio, humildade, democracia etc.;Opiniao
Amei !!! Graças a Deus estou imune desse vírus... toca o gado...kkkkkk;Elogio
Cara, eu sou muito tua fã e admiradora da tua coragem em tempos difíceis que estamos vivendo. Continue com esse trabalho de beija-flor, quem sabe de gota em gota não apaga a queimada inteira. Te amamos, eu e minha esposa.;Elogio
O menino Brasil está em quarentena, e continua dizendo que adoeceu por causa do socialismo.;Opiniao
ESSE CARA TEM CORAGEM. Se posiciona sem cortina de fumaça e com clareza. +1 fã cara;Elogio
Aqui em casa temos educação política. Ninguém está com a doença q tomou o Brasil. Somos imunes! Bjs Gustavo.;Opiniao
Acho que você é que está doente: xingando e humilhando o público;Opiniao
Obrigada Gustavo Mendes por não ter se calado e gerar conteúdo para compartilharmos nas redes. Passei a acompanhar vc pelo posicionamento q teve nesses tempos de crise, msm correndo o risco de perder público e sofrer represálias. PARABÉNS! Isenção para os descalabros desse governo acaba sendo conivência. Vou compartilhar!;Elogio
A eleição de Bolsonaro é só a confirmação daquilo que já sabíamos: o brasileiro é o povo mais hipócrita, machista, homofóbico, violento, ignorante e tolo do mundo!;Opiniao
PARABÉNS Gustavo Mendes.Continue deixando os bolsominions revoltadas!!!.kkkkk;
O PIOR TRÂNSITO É O TRÂNSITO DOS CHATOS QUE ASSISTEM ESSE CANAL E SÓ SABEM CRITICAR.;Critica
Amei o som do berrante acho que vou compra um e por pendurado na frente de casa para espantat os bolsochatos kkkkkkkkkk;Elogio
Eu já li viu Gustavo, a CF/88 diz em seu Direitos e Garantias Individuais e coletivos: todos são iguais perante à lei, sem distinção de qualquer natureza... Na teoria, porque na prática, isso é igual às leis de transito, quase nunca é observada e respeitada.;Opiniao
Faz imitação do bolsonaro vai fica massa, e os Noia do governo vai curt e Eu racha o bico. ... Campinas shopping espera por vc.;Sugestão
Essa do gado é ótima.. Tem que ter sempre!;Elogio
A DICA PARA O TRANSITO E MUITO SIMPLAAAAAASSSS...VC BEBI, NÃO COLOCA O CINTO, BATE NO PRIMEIRO POSTE. PRINCIPALMENTE SE FOR BOZOLOIDE!!!!! SUA RECLAMAÇÃO FOI ENVIADA PARA O DEPARTAMENTO DO FODA - SEEEEEEE!!!!!!;Odio
A melhor parte é a do gado indo embora KKKKKK;Opiniao
Eu devo ser louca, além de ler, tenho uma pasta (virtual claro) com todos os manuais. kkkk;Opiniao
Primeiro toca o berrante pra chamar o gado,depois de dar o capim,toca de novo pra mandar embora.Tô adorando essa idéia.Beijo na alma seu lindo.;Sugestão
Só sei aplaudir e admirar! Parabéns pelo canal;Elogio
Alguém já viu filhote de pomba? Eu nunca vi !! Kkk;Duvida
Mds eu rachei de rir mesmo que esse povo fresco não goste, pode continuar a fazer piada de religião kkkk são as melhores;Sugestão
É humor, não religião! vão tomar no olho do cu!!!;Odio
É o cambota que tá no palco dando risada? Conheço essa risada;Duvida
top demais ....Humor de verdade não tem mimimi com determinados assuntos !! Parabéns...;Elogio
"""ele late aleatoriamente e gira em torno de si"" o meu faz o mesmo, será que o meu é um robô disfarçado de cachorro tipo exterminador do futuro?";Duvida
Se esse final não foi encenado foi o melhor encerramento que já vi kkkkkkkkkkk;Elogio
"""O cachorro gira em torno de si e late"" Gente, é o que um cachorro normal faz HAHAHAHAHAHAHAHA";Opiniao
Não imagino se o leon e a nilce se separarem. Mano, o YouTube acaba;Opiniao
"""Quantos forem necessário"" hahahahaha adorei a resposta, apesar da minha ser mais parecida com a do Leon.";Opiniao
A pergunta que faltou: que fim levou o Otamatone? Volta a tocar Nilce kkk;Duvida
Cuidado (Ironia): a editora está alfinetando os atendentes de telemarketing.;Opiniao
Como voces vivem fora das câmeras ? Voces são tão alegres como nós vemos ?;Duvida
amados, qual a aposta de vocês para o tema da redação do enem 2019??;Duvida
O Leon falando que a nilce vai ter que levar e trazer ele do chalé me lembrou o Sheldon Cooper;Opiniao
Elimar Gonzales servindo a sua patria Venezuela na guerra;Opiniao
JOGAR NO MOBILE É FACIL QUERO VER JOGAR NO EMULADOR;Critica
Jogar no emulador é podre, quero ver jogar mobile no mobile.... Aí é mole!!;Critica
Ele gripado tem a voz da Dilma. kkkkkkkkkkk Muito bom, adoro o trabalho dele!;Elogio
Acho engraçado quando ele fala : ola eu sou a Dilma uma vez presidenta sempre presidenta kkkkkkk;Opiniao
Muito Bom, ao Invés de 8 minutos a entrevista deveria ter 1 Hora!!!!;Elogio e Critica
"Mds jogo ótimo quem tbm gosta da like "" bora tentar bater 20 k ''";Elogio
Bateu até saudade do Call of duty de play 2, pra quem finalizou todas as franquias Call of duty de Ps2 da um;Sugestão
Essa metralhadora era a mais poderosa do mundo naquele tempo a que recebeu vocês;Opiniao
Mano do ceu vey esse jogo é do msm jeito do medalha de honra do ps2 mais tá muito melhor ne kkkk porra ai assim;Opiniao
Essa série vai ser top. E quem concorda deixa seu like;Sugestão
Vou começar a assistir a série inteira novamente, para mim e a melhor série que você fez;Opiniao
Joguei só agora e achei muito bom, história, graficos, vários modos de combate e sua transição em espionagem, tanque, avião, anti-aéreo, excelente!;Elogio
Mano, quem teria coragem de arrancar isso da Ana Maria? Kkkkkkkkkkk só a Tata mesmo.;Duvida
Gente, essa é a melhoooor conversa de indiretas da vida! KKKKKKKKKK;Elogio
Primeira vez q vejo Tatá Werneck com vergonha da entrevistada kkkk;Opiniao
Ana Maria me surpreendeu, arrasou nas respostas. Deu um banho em muita gente que não sabe lidar com essas perguntas;Opiniao
Ana Maria é tão inteligente q dá prazer d ver sua plenitude e postura;Elogio
Cara, que foco para não ser demitida kkkkkkkk;Duvida
Eu constrangida, assim como a Tatá, e a Ana bem plena.;Opiniao
Duas gerações de mulheres fantásticas! Cada uma com sua característica em perfeita harmonia deram um show!!!;Elogio
NAMARIA SUA SAFADA! MARAVILHOSA! HAHAH;Elogio
Antes né pq se não não engrossa o caldo ai como é q faz?;Opiniao
Ana Maria muito mais esperta,na obscenidade,dos que a Isis Valverde,que é novinha! Experiencias né benhe?!;Opiniao
Essa sem dúvida é a melhor temporada de todas, tanto quanto a convidados como os Especialistas. Amando demais.;Elogio
Qualquer creme de Leite da ponto de chantily tem de ta bem gelado, isso e muito importante eu ponho no freeezer por 15 20 minutos e bato e da super certo;Opiniao
O segredo do sucesso na Ana é a simplicidade e espontaneidade. Maravilha;Opiniao
Nossa eu pensei que era difícil fazer sorvete aí eu pesquisando na internet achei seu vídeo é fácil vou fazer mas pode ser qualquer creme de leite;Sugestão
Eh muito maravilhoso eu fiz com o creme de leite normal i Deu super certo tbm ficou muito bom;Elogio
Meu ficou mas de 40 minutos e não ficou duro;Critica
Fiz o sorvete e ficou maravilhoso,o leite condensado seu o ponto na primeira tentativa;Elogio
"Mano eu ja tava com saudade desse ""Eaí pessoal, tudo bem? Aqui quem fala é o Edu""";Opiniao
Edu é alérgico ao Brasil kkkkkkk;Opiniao
Cara esse Bf5 está mostrando o que a guerra não serve de nada pro mundo bom começo de gameplay sensacional;Elogio
Na hora que eu vi o MENU eu fiquei: tenho que comprar esse jogo;Opiniao
caraca sem palavras para descrever o quanto é lindo e incrível esse jogo cara !!! Excelente só falto Tradução verbal !;Elogio
Overman vc trás só jogos foda melhor canal;Elogio
Essa época era muito boa quando a Kéfera era simpática e engraçada;Opiniao
Só eu que to assistindo esse vídeo em 2019? Com sdd da kefera antiga???;Duvida
"Pena que agora ela só quer """"lacrar"""".. saudades dela assim";Critica
Geral aqui só fica dizendo que ela tava melhor antes do que agora kkkkkkkkk, também acho o mesmo, só espero que ela não apague esses vídeos antigos.;Opiniao
O vídeo inteiri eu super me indentifiquei;
Não me indentifiquei “mentir é feio”...Tá,só um pouquinho...TA BEM,EU CONFESSO! EU NEM SEI PASSAR DELINEADOR!;Opiniao
O PIOR É A VEIA ACHANDO QUE TEM UM PINGO DE MORAL, QUE SOCO NA CARA DA VEIONA LÁ;Odio
Ridículo um programa que pede opiniões e acaba sendo envergonhado por dar a sua opinião Volta TV Globinho por favor;Odio
Ela é muito femista, até a Fátima Bernardes falou que ele tava explicando o seu lado.....;Opiniao
Não sei quem é mais otario se é ela ou os que aplaude;Odio
Se eu entra-se nesse programa ela ia passar muita vergonha por eu usar os próprios argumento dela contra ela.;Opiniao
Em nenhum momento ele tava ensinando. Ele tava explicando uma situação, s-o-m-e-n-t-e. Deu vontade de vomitar agora! Pq eu assisti essa bosta?!;Odio
Nojo dessa mulher.eem nenhum momento ele quis ensinar,em nenhum momento ele desrespeitou ele so tava dando a opinião dele,ele tem liberdade de expressão e pode falar a hora que ele quiser.;Odio
Ela não é feminista, é uma femista pura. Está acabando com o nome do feminismo usando argumentos inválidos. Está fazendo oque critica;Opiniao
"Fátima ""lacrou"" mais do que a Kefera com esse ""Só um minutinho"" HUASUHASHUAS";Opiniao
E a kerefa é womanboring. Sendo womanrude and womanstupid. Resumindo esta cega achando q so ela tem razao e direto de fala. Esse é um aspecto terrivel da militancia.;Opiniao
Nossa, mas que mesquinha ela. Agradeço a Fátima pelo bom senso de deixar o rapaz falar. Educada e profissional;Elogio e Critica
Que mulher podre!!!! E essa mulher ao lado dela mais ainda! Rea,l o cara só explicou O QUE ACONTECEU COM ELE, de forma alguma ele quis explicar o que e o feminismo. Essa mulher precisa voltar para escola e aprender interpretação e também a respeitar o próximo!!!;Opiniao
Eu amo a ké mais ela foi errada pq a partir do momento que a fatima chamou ele e pediu a opnião dele ele tinha direito de falar oque pensa MESMO ESTANDO ERRADISSIMO;Opiniao
"Feminismo é falta de rola"" Frase muito machista, fala isso, mas não conhece 1% do verdadeiro movimento!!!";Opiniao
Essa mulher mancha o nome das mulheres,Meu Deus;Critica
Nem o YouTube aguentou quando a Kefera começou a falar, parou de responder na hora.;
Como que ela tá reclamando se ela mesma pediu pra ele explicar?;Duvida
Tenho certeza q a Globo nunca mais chamará essa incrível e corajosa mulher, pelo tom de voz ela já não aguenta mais tanta hipocrisia ....parabéns Janaína;Elogio
Janaína Paschoal é um EXEMPLO para todas as mulheres do Brasil !!! Me orgulho de ter votado nela !!!;Elogio
Ela está corretíssima, cala boca Fátima;Opiniao
"Neste ponto, concordo com a Janaína. Os pais deixam os filhos em cárcere privado por desespero. Como punir alguém que, por amor ao ente querido, comete um ""crime"" para salvaguardar esta pessoa querida? Incoerente, no mínimo.";Opiniao
